block_number,tick,liquidityGross,liquidityNet,feeGrowthOutside0X128,feeGrowthOutside1X128,tickCumulativeOutside,secondsPerLiquidityOutsideX128,secondsOutside,initialized
16577835,-871860,0,0,0,0,0,0,0,False
16577835,-871800,0,0,0,0,0,0,0,False
16577835,-871740,0,0,0,0,0,0,0,False
16577835,-871680,0,0,0,0,0,0,0,False
16577835,-871620,0,0,0,0,0,0,0,False
16577835,-871560,0,0,0,0,0,0,0,False
16577835,-871500,0,0,0,0,0,0,0,False
16577835,-871440,0,0,0,0,0,0,0,False
16577835,-871380,0,0,0,0,0,0,0,False
16577835,-871320,0,0,0,0,0,0,0,False
16577835,-871260,0,0,0,0,0,0,0,False
16577835,-871200,0,0,0,0,0,0,0,False
16577835,-871140,0,0,0,0,0,0,0,False
16577835,-871080,0,0,0,0,0,0,0,False
16577835,-871020,0,0,0,0,0,0,0,False
